chain,contract_address,hardcoded_manager,ever_drained_by_mgr,ever_blacklisted_by_mgr,notes
polygon,0x202fefb953de8e2e087d140709f53b701c1214e9,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x206146aebb8fcbe1325cc4a96b313b0f35e256c1,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x2065f4339bc58f0aa8b0b02028f6cd9732de266b,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x207ae90a34cd3fa90f0b344b4714756cdba959b0,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x21eef3f0538ad237dcf1dafd7135fe13b0571a58,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x21f8d60deb20f6a912c1988411fa9c5e1e6a979d,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x22159422da6a2399b77b545e1cab39a5eeec04a0,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x223c3ca1d08c7f86654a1024f679660726296a1e,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x224bad9ed848a4a2c7e4c3ee731c5d2a4127e9b0,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x2324d024cc6036f0df2c3f3cc18cd03273172eb0,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x24529094cac7eb02f265c2e2131ca38101406a3f,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x2476b7bd6926849d83da8e2bbbb1588d396088f1,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x252cad049d0cb2e93a02a34feb614571d42348c8,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x25653ca40978d396ebe7d80c6dae81a523478460,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x257c0cc4979997e020dcc3d52a84b20e15f1b698,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x25a757df2caacb9536660b227fd5d63e838878f0,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x26249f48eb92815f97932e8ce81f78a65c1500f4,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x2650db99c3d144758846bedf468773112bbdf403,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x266d41687999072ef95b17a879d46a4db7c9fa94,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x27060876373c403021b5cab4f9ba7d09d7e80a94,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x273624e6fcbb09dfb480789e7a037cccd5c2632d,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x28273394aeb4ef8ad19ff0eaeb206c595a5078f2,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x28b1d8415150b7656fff4c3ca90fc509757e87c3,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x28ca5ee15d39061f5d3407e42d5843f5b9f65f4d,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x29317fde627423851b62a5ca25dfd6cb1db020ea,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x29f14eb88cc7202b067ff22b105fed68dfc406c2,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,True,True,same template family as avalanche; single-key architecture
polygon,0x2a16a38c596053d73989fc620e393ff042cd8fed,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x2a9e1c600b6c182d498c136646f32c88c71366f4,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x2aa05417efe54f23683edbbc184bff01cbc47f5a,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x2ae296c23373e9030529d31739838ccfb29ed572,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x2b318e0d9d64c977e61ebb0853f6647d29a73a50,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x2c68e31d1dde3f34aeda89a900957731c31878ce,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,True,True,same template family as avalanche; single-key architecture
polygon,0x2c8ba9d39f41715daa4d8e95b7765a9b0224e9c9,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
